date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,0,0.0
1996-01-02,1496,4,0.00267379679144385
1996-01-03,1988,8,0.004024144869215292
1996-01-04,2248,28,0.012455516014234875
1996-01-05,2120,8,0.0037735849056603774
1996-01-06,172,0,0.0
1996-01-07,240,4,0.016666666666666666
1996-01-08,2052,8,0.003898635477582846
1996-01-09,2436,12,0.0049261083743842365
1996-01-10,2312,4,0.0017301038062283738
1996-01-11,2512,8,0.0031847133757961785
1996-01-12,1820,4,0.002197802197802198
1996-01-13,252,0,0.0
1996-01-14,192,12,0.0625
1996-01-15,1516,4,0.002638522427440633
1996-01-16,3288,4,0.0012165450121654502
1996-01-17,3556,32,0.008998875140607425
1996-01-18,3304,0,0.0
1996-01-19,2352,44,0.01870748299319728
1996-01-20,680,24,0.03529411764705882
1996-01-21,336,64,0.19047619047619047
1996-01-22,2444,36,0.014729950900163666
1996-01-23,3100,72,0.023225806451612905
1996-01-24,3168,36,0.011363636363636364
1996-01-25,3904,52,0.01331967213114754
1996-01-26,2004,32,0.015968063872255488
1996-01-27,208,0,0.0
1996-01-28,252,8,0.031746031746031744
1996-01-29,2056,12,0.005836575875486381
1996-01-30,2956,36,0.012178619756427604
1996-01-31,3556,24,0.006749156355455568
1996-02-01,3744,40,0.010683760683760684
1996-02-02,2872,4,0.001392757660167131
1996-02-03,48,0,0.0
1996-02-04,180,12,0.06666666666666667
1996-02-05,2292,20,0.008726003490401396
1996-02-06,3404,32,0.009400705052878966
1996-02-07,3796,48,0.012644889357218124
1996-02-08,4556,40,0.00877963125548727
1996-02-09,2988,28,0.009370816599732263
1996-02-10,128,0,0.0
1996-02-11,212,4,0.018867924528301886
1996-02-12,2664,0,0.0
1996-02-13,3980,36,0.009045226130653266
1996-02-14,3468,48,0.01384083044982699
1996-02-15,4852,52,0.010717230008244023
1996-02-16,2980,24,0.008053691275167786
1996-02-17,168,4,0.023809523809523808
1996-02-18,240,16,0.06666666666666667
1996-02-19,844,12,0.014218009478672985
1996-02-20,2444,12,0.004909983633387889
1996-02-21,3072,40,0.013020833333333334
1996-02-22,2376,12,0.005050505050505051
1996-02-23,2760,4,0.0014492753623188406
1996-02-24,84,0,0.0
1996-02-25,168,4,0.023809523809523808
1996-02-26,2268,36,0.015873015873015872
1996-02-27,3236,12,0.003708281829419036
1996-02-28,3172,36,0.011349306431273645
1996-02-29,2932,28,0.009549795361527967
1996-03-01,1972,4,0.002028397565922921
1996-03-02,124,0,0.0
1996-03-03,128,0,0.0
1996-03-04,2372,0,0.0
1996-03-05,2572,28,0.01088646967340591
1996-03-06,2752,4,0.0014534883720930232
1996-03-07,3224,36,0.011166253101736972
1996-03-08,2268,52,0.02292768959435626
1996-03-09,216,4,0.018518518518518517
1996-03-10,308,24,0.07792207792207792
1996-03-11,2564,20,0.0078003120124804995
1996-03-12,3520,36,0.010227272727272727
1996-03-13,4044,36,0.008902077151335312
1996-03-14,3556,36,0.010123734533183352
1996-03-15,2656,32,0.012048192771084338
1996-03-16,192,4,0.020833333333333332
1996-03-17,280,16,0.05714285714285714
1996-03-18,2820,44,0.015602836879432624
1996-03-19,3296,56,0.01699029126213592
1996-03-20,3136,68,0.021683673469387755
1996-03-21,3064,32,0.010443864229765013
1996-03-22,2756,64,0.023222060957910014
1996-03-23,172,0,0.0
1996-03-24,192,0,0.0
1996-03-25,2148,24,0.0111731843575419
1996-03-26,3088,24,0.007772020725388601
1996-03-27,3376,40,0.011848341232227487
1996-03-28,3216,72,0.022388059701492536
1996-03-29,2852,12,0.004207573632538569
1996-03-30,160,4,0.025
1996-03-31,212,4,0.018867924528301886
1996-04-01,2764,56,0.020260492040520984
1996-04-02,2848,56,0.019662921348314606
1996-04-03,2392,40,0.016722408026755852
1996-04-04,2476,16,0.006462035541195477
1996-04-05,484,4,0.008264462809917356
1996-04-06,0,0,0.008264462809917356
1996-04-07,0,0,0.008264462809917356
1996-04-08,0,0,0.008264462809917356
1996-04-09,0,0,0.008264462809917356
1996-04-10,0,0,0.008264462809917356
1996-04-11,3040,40,0.013157894736842105
1996-04-12,2728,16,0.005865102639296188
1996-04-13,132,0,0.0
1996-04-14,188,0,0.0
1996-04-15,2928,32,0.01092896174863388
1996-04-16,3644,72,0.019758507135016465
1996-04-17,3964,60,0.015136226034308779
1996-04-18,3852,96,0.024922118380062305
1996-04-19,2460,88,0.03577235772357724
1996-04-20,476,48,0.10084033613445378
1996-04-21,516,36,0.06976744186046512
